"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Konto til postering af købsmoms for køb i udlandet","Konto til postering af købsmoms for køb i udlandet","Account for posting of input VAT for purchases abroad","Konto für die Buchung der Vorsteuer für Einkäufe im Ausland","Compte pour l'affichage de la TVA pour les achats à l'étranger","yurt dışında satın almalar için giriş KDV yazabilmek için hesap","Cuenta para la contabilización del IVA para las compras en el extranjero","Conto per distacco dei dell'IVA a monte per gli acquisti all'estero",
"@Konto til postering af købsmoms for ydelseskøb i udlandet","Konto til postering af købsmoms for ydelseskøb i udlandet","Account for posting of input tax for ydelseskøb abroad","Konto für für ydelseskøb der Vorsteuer Entsendung ins Ausland","Compte pour l'affichage de la taxe d'entrée pour ydelseskøb étranger","yurtdışında ydelseskøb için giriş vergi yazabilmek için hesap","Cuenta para el desplazamiento de las cuotas soportadas por ydelseskøb el extranjero","Conto per la pubblicazione della tassa di ingresso per ydelseskøb all'estero",
"@Konto til postering af salgsmoms for køb i udlandet","Konto til postering af salgsmoms for køb i udlandet","Account for posting of sales tax for purchases abroad","Konto für die Buchung der Umsatzsteuer für Einkäufe im Ausland","Compte pour l'affichage de la taxe de vente pour les achats à l'étranger","yurt dışında satın almalar için satış vergisi yazabilmek için hesap","Cuenta para el desplazamiento de impuesto sobre las ventas en el extranjero para las compras","Conto per distacco di imposta sulle vendite per gli acquisti all'estero",
"@Konto til postering af salgsmoms for ydelseskøb i udlandet","Konto til postering af salgsmoms for ydelseskøb i udlandet","Account for posting of sales tax for ydelseskøb abroad","Konto für die Buchung der Umsatzsteuer für ydelseskøb im Ausland","Compte pour l'affichage de la taxe de vente pour ydelseskøb étranger","yurtdışında ydelseskøb için satış vergisi yazabilmek için hesap","Cuenta para el desplazamiento de impuesto sobre las ventas en el extranjero para ydelseskøb","Conto per distacco di imposta sulle vendite per ydelseskøb all'estero",
"@Konto","Konto","Account","Konto","compte","hesap","cuenta","conto",
"@Konto-kontrol:","Konto-kontrol:","Account control:","Kontensteuerung:","Contrôle de compte:","Hesap kontrolü:","el control de la cuenta:","Controllo account:",
"@Konto.","Konto.","Account.","Konto.","Compte.","Hesabı.","Cuenta.","Account.",
"@Konto...","Konto...","Account...","Konto ...","Compte ...","Hesap ...","Cuenta ...","Account ...",
"@Kontobeskrivelse. En beskrivende tekst efter eget valg","Kontobeskrivelse. En beskrivende tekst efter eget valg","Item Description. A descriptive text of your choice","Artikelbeschreibung. Ein beschreibender Text Ihrer Wahl","Description de l'objet. Un texte descriptif de votre choix","Ürün Açıklaması. Seçtiğiniz bir açıklayıcı metin","Descripción del artículo. Un texto descriptivo de su elección","Descrizione. Un testo descrittivo della vostra scelta",
"@Kontoens saldo","Kontoens saldo","The balancing","Der Ausgleich","L'équilibrage","dengeleme","El equilibrado","il bilanciamento",
"@Kontoens valuta (DKK= kurs 100)","Kontoens valuta (DKK= kurs 100)","The account currency (DKK = price 100)","Die Kontowährung (DKK = Preis 100)","La monnaie de compte (DKK = prix 100)","Hesap para birimi (DKK = fiyat 100)","La moneda de la cuenta (DKK = precio 100)","La valuta del conto (DKK = prezzo 100)",
"@Kontoindstilling","Kontoindstilling","account Setting","Kontoeinstellung","compte Cadre","hesap Ayarları","Configuración de cuenta","Impostazione conto",
"@Kontoindstilling:","Kontoindstilling:","Account setting:","Kontoeinstellung:","Réglage du compte:","Hesap ayarı:","configuración de cuenta:","impostazione Account:",
"@Kontokort med moms","Kontokort med moms","Charge cards with VAT","Charge-Karten mit Mehrwertsteuer","Les cartes de paiement avec TVA","KDV ile şarj kartları","Tarjetas de débito con el IVA","Carica le carte con l'IVA",
"@Kontokort","Kontokort","Charge cards","Charge-Karten","Les cartes de paiement","Şarj kartları","Las tarjetas de débito","carte di credito",
"@Kontokort:","Kontokort:","Charge cards:","Charge-Karten:","Les cartes de paiement:","şarj kartları:","Tarjetas de débito:","Carica le carte:",
"@Kontonavn - beskrivende tekst","Kontonavn - beskrivende tekst","Account name - descriptive text","Kontoname - beschreibender Text","Nom du compte - texte descriptif","Hesap adı - açıklayıcı metin","Nombre de cuenta - texto descriptivo","Nome account - testo descrittivo",
"@Kontonavn","Kontonavn","account Name","Registrieren Name","compte Nom","hesap Adı","Nombre de cuenta","Nome conto",
"@Kontonr","Kontonr","Kontonr","Kontonr","Kontonr","Kontonr","Kontonr","Kontonr",
"@Kontonr.","Kontonr.","Account no.","Konto-Nr.","N ° de compte.","Hiçbir Hesap.","Nº de cuenta.","Conto n.",
"@Kontonummer for kontantsalg.","Kontonummer for kontantsalg.","Account number for cash sales.","Kontonummer für den Barverkauf.","numéro de compte pour les ventes au comptant.","nakit satış hesap numarası.","número de cuenta para las ventas en efectivo.","Numero di conto per le vendite in contanti.",
"@Kontonummer for salg på kreditkort.","Kontonummer for salg på kreditkort.","Account number for sales on credit cards.","Kontonummer für den Verkauf auf Kreditkarten.","Numéro de compte pour les ventes sur les cartes de crédit.","kredi kartlarına ilişkin satış hesap numarası.","número de cuenta para las ventas de tarjetas de crédito.","Numero di conto per le vendite sulle carte di credito.",
"@Kontonummer for samlet vare- og ydelsessalg uden for EU","Kontonummer for samlet vare- og ydelsessalg uden for EU","Account number for total goods and service sales outside the EU","Kontonummer für insgesamt Waren und Dienstleistungen Verkäufe außerhalb der EU","numéro de compte pour l'ensemble des biens et des ventes de services extérieurs à l'UE","AB dışındaki toplam mal ve hizmet satışları hesap numarası","número de cuenta para el total de bienes y servicios de ventas fuera de la UE","Numero di conto per i beni e di vendita di servizi al di fuori dell'UE",
"@Kontonummer for samlet varekøb i EU","Kontonummer for samlet varekøb i EU","Account number for total purchases in the EU","Kontonummer für Käufe insgesamt in der EU","numéro de compte pour le total des achats dans l'UE","AB'de toplam alımlar için hesap numarası","número de cuenta para las compras totales en la UE","Numero di conto per gli acquisti totali nell'UE",
"@Kontonummer for samlet varesalg i EU","Kontonummer for samlet varesalg i EU","Account number for total product sales in the EU","Kontonummer für die gesamte Produktverkäufe in der EU","Numéro de compte pour les ventes totales de produits dans l'UE","AB'de toplam ürün satışları için hesap numarası","número de cuenta para el total de las ventas de productos en la UE","Numero di conto per le vendite totali di prodotti nell'UE",
"@Kontonummer for samlet ydelseskøb i EU","Kontonummer for samlet ydelseskøb i EU","Account number for total ydelseskøb in EU","Kontonummer für die gesamte ydelseskøb in EU","numéro de compte pour ydelseskøb totale dans l'UE","AB'de toplam ydelseskøb için hesap numarası","número de cuenta para ydelseskøb total en la UE","Numero di conto per ydelseskøb totale in EU",
"@Kontonummer for samlet ydelsessalg i EU","Kontonummer for samlet ydelsessalg i EU","Account number for total output sale in EU","Kontonummer für die Gesamtleistung Verkauf in EU","numéro de compte pour la vente de la production totale de l'UE","AB'de toplam çıkış satılık hesap numarası","número de cuenta a la venta la producción total de la UE","Numero di conto in vendita produzione totale nell'UE",
"@Kontonummer fra kontoplanen som skal bruges til valutakursdifferencer og øreafrunding...","Kontonummer fra kontoplanen som skal bruges til valutakursdifferencer og øreafrunding...","Account number from the chart of accounts to be used for translation differences and rounding ...","Kontonummer aus dem Kontenplan für Umrechnungsdifferenzen und Rundungs ​​verwendet werden ...","Numéro de compte du plan comptable à utiliser pour les écarts de conversion et l'arrondi ...","hesap planında hesap numarası çevrim farkları ve yuvarlama için kullanılacak ...","Número de cuenta del plan de cuentas que se utilizará para las diferencias de conversión y redondeo ...","Numero di conto dal piano dei conti da utilizzare per differenze di conversione e di arrotondamento ...",
"@Kontonummer. Entydig nummerkode, som benyttes til sortering, summering mv.","Kontonummer. Entydig nummerkode, som benyttes til sortering, summering mv.","Account Number. The unique number code, which is used for sorting, etc. summation.","Kontonummer. Die eindeutige Nummer-Code, der für das Sortieren usw. Summierung verwendet wird.","Numéro de compte. Le code unique numéro, qui est utilisé pour le tri, etc. sommation.","Hesap Numarası. sıralama için kullanılan benzersiz numara kodu, vb toplamıdır.","Número de cuenta. El código de número único, que se utiliza para clasificar, etc. suma.","Numero di conto. Il codice unico numero, che viene utilizzato per l'ordinamento, ecc sommatoria.",
"@Kontoplan","Kontoplan","account Plan","Account-Plan","compte plan","hesap Planı","plan de cuenta","conto Piano",
"@Kontoplan:","Kontoplan:","Nomenclature:","Nomenklatur:","nomenclature:","İsimlendirme:","nomenclatura:","nomenclatura:",
"@Kontotype: D=Drift, S=Status, Z=Sum, H=Overskrift, R=Resultat, X=Sideskift, L=Lukket","Kontotype: D=Drift, S=Status, Z=Sum, H=Overskrift, R=Resultat, X=Sideskift, L=Lukket","Account Type: D = Run, S = Status, Z = Sum, H = Heading, R = Earnings, X = Page Change, L = Closed","Account-Typ: D = Run, S = Status, Z = Summe, H = Überschrift, R = Ergebnis, X = Seite ändern, L = Geschlossen","Type de compte: D = Run, S = Etat, Z = Somme, H = Heading, R = Résultat, X = Changer de page, L = Fermé","Hesap Tipi: D = Çalıştır, S = Durum, Z = Sum, H = Başlık, R = Kazanç X = Sayfa Değişikliği, L = Kapalı","Tipo de cuenta: D = Ejecutar, S = Estado, Z = Suma, H = partida, R = Utilidades, X = Cambio de página, L = Cerrada","Tipo di account: D = Run, S = Stato, Z = Sum, H = intestazione, R = guadagni, X = Cambio pagina, L = Chiuso",
"@Kontrol sporing","Kontrol sporing","control tracking","Steuer Tracking","suivi de commande","kontrol izleme","control de seguimiento","monitoraggio di controllo",
"@Kontrollèr Administrators Passwords","Kontrollèr Administrators Passwords","Check Administrator Passwords","Überprüfen Sie Administrator Passwörter","Vérifiez mot de passe administrateur","Yönetici Şifreleri Kontrol","Compruebe Administrador de Contraseñas","Controllare password amministratore",
"@Kontrolspor","Kontrolspor","control Track","Steuerspur","contrôle piste","kontrol Parça","control de la derrota","controllo traccia",
"@Kopier til ny","Kopier til ny","Copy to new","Kopieren auf neue","Copier vers nouveau","Yeni kopyala","Copiar a la nueva","Copia in nuova",
"@Kopier","Kopier","Copy","Kopie","copie","kopya","copia","copia",
"@Kost-pris","Kost-pris","Cost price","Diät-Preis","Prix ​​de l'alimentation","diyet fiyat","precio de la dieta","dieta prezzo",
"@Kost...","Kost...","Diet...","Diät ...","Diet ...","Diyet ...","Dieta ...","Dieta ...",
"@Kostpris","Kostpris","Cost price","Kosten","coût","maliyet","costo","costo",
"@Kredit Kt.","Kredit Kt.","Credit Kt.","Kredit Kt.","Kt crédit.","Kredi Kt.","Kt de crédito.","Credit Kt.",
"@Kredit primosaldo","Kredit primosaldo","Credit opening balance","Krediteröffnungsbilanz","solde d'ouverture de crédit","Kredi açılış bilançosu","saldo de apertura de crédito","saldo di apertura di credito",
"@Kredit","Kredit","Credit","Kredit","crédit","kredi","crédito","credito",
"@Kreditkort","Kreditkort","Credit cards","Kreditkarten","Cartes de crédit","kredi kartları","Las tarjetas de crédito","carte di credito",
"@Kreditnota","Kreditnota","Credit","Kredit","crédit","kredi","crédito","credito",
"@Kreditor-rapporter:","Kreditor-rapporter:","The creditor reports:","Die Gläubigerberichte:","Les rapports des créanciers:","alacaklı raporları:","Los informes de los acreedores:","I rapporti creditori:",
"@KreditorSamlekonto","KreditorSamlekonto","Payables Account","Verbindlichkeitskonto","Payables compte","borçlar Hesabı","cuenta por pagar","Debiti account",
"@Kreditorer","Kreditorer","creditors","Gläubiger","créanciers","alacaklılar","acreedores","creditori",
"@Kreditorgrupper","Kreditorgrupper","creditor Groups","Gläubigergruppen","Groupes créanciers","alacaklı Grupları","Grupos de acreedores","Gruppi creditore",
"@Kreditorkonti","Kreditorkonti","Accounts Payable","Kreditoren","Comptes créditeurs","ödenecek hesaplar","cuentas por pagar","Debiti",
"@Kreditorordrer","Kreditorordrer","creditor Orders","Gläubiger Bestellungen","créanciers commandes","alacaklı Siparişleri","Pedidos acreedores","ordini creditore",
"@Kreditorrapport","Kreditorrapport","Vendor Report","Vendor Report","Rapport du vendeur","Satıcı Raporu","Informe proveedor","venditore Rapporto",
"@Kroner,ører","Kroner,ører","Kroner, ears","Kroner, Ohren","Kroner, oreilles","Kroner, kulaklar","Kroner, las orejas","Corone, orecchie",
"@Krypteringsmetode for forbindelse til SMTP serveren, hvis dette kræves.","Krypteringsmetode for forbindelse til SMTP serveren, hvis dette kræves.","Encryption method for connecting to the SMTP server, if required.","Verschlüsselungsverfahren für die Verbindung zu dem SMTP-Server, falls erforderlich.","Méthode de chiffrement pour la connexion au serveur SMTP, si nécessaire.","Gerekirse, SMTP sunucusuna bağlanmak için şifreleme yöntemi.","Método de cifrado para la conexión con el servidor SMTP, si es necesario.","metodo di crittografia per la connessione al server SMTP, se necessario.",
"@Kun tusinder","Kun tusinder","only thousands","nur tausende","seulement des milliers","sadece binlerce","miles;","solo migliaia",
"@Kunde - Fakturering:","Kunde - Fakturering:","Customer - Billing:","Kunde - Abrechnung:","Clientèle - Facturation:","Müşteri - Faturalama:","Cliente - Facturación:","Clienti - Fatturazione:",
"@Kunde kategori","Kunde kategori","customer category","Kundenkategorie","catégorie de clients","müşteri kategorisi","categoría de clientes","categoria cliente",
"@Kunde navn","Kunde navn","Company name","Firmenname","Nom de l'entreprise","Şirket adı","nombre de compañía","nome azienda",
"@Kunde ordre","Kunde ordre","customer order","Kundenauftrag","commande client","müşteri siparişi","pedido del cliente","ordine del cliente",
"@Kundeansvarlig","Kundeansvarlig","customer Responsible","Kunden Verantwortlich","responsable client","Sorumlu müşteri","Responsable del cliente","responsabile del cliente",
"@Kunden (debitor):","Kunden (debitor):","The customer (debtor):","Der Kunde (Schuldner):","Le client (débiteur):","Müşteri (borçlu):","El cliente (deudor):","Il cliente (debitore):",
"@Kundenavn","Kundenavn","Company Name","Name des Unternehmens","Nom de l'entreprise","Firma Adı","Nombre de la empresa","Nome azienda",
"@Kundenr.","Kundenr.","Customer.","Kunden.","Client.","Müşteri.","Cliente.","Clienti.",
"@Kundenr: Kan ikke rettes. Systemet styrer dette","Kundenr: Kan ikke rettes. Systemet styrer dette","Customer: Can not corrected. The system manages this","Kunde: Kann nicht korrigiert. Das System verwaltet diese","Client: Vous ne pouvez pas corriger. Le système gère ce","Müşteri: düzeltilmiş olamaz. Sistem bu yönetir","Cliente: No se puede corregir. El sistema gestiona este","Cliente: Non è possibile corretto. Il sistema gestisce questo",
"@Kundens Email adresse","Kundens Email adresse","Customer Email","Kunden per E-Mail","client Email","Müşteri E-posta","cliente de correo electrónico","clienti e-mail",
"@Kundens hjemmeside","Kundens hjemmeside","Customer website","Kundenwebsite","site client","Müşteri web sitesi","página web del cliente","sito web del cliente",
"@Kundens referance","Kundens referance","Customer referance","Kunden referance","referance client","Müşteri referans","referance cliente","referance clienti",
"@Kundens","Kundens","Customer","Kunde","client","müşteri","cliente","cliente",
"@Kunder","Kunder","customers","Kundschaft","clientèle","müşteriler","clientes","clienti",
"@Kundetilknytning:","Kundetilknytning:","Customer Link:","Customer Link:","Lien à la clientèle:","Müşteri Bağlantı:","Enlace al cliente:","Clienti Link:",
"@Kundetype","Kundetype","customer type","Kundentyp","type de client","müşteri tipi","tipo de cliente","tipo di cliente",
"@Kurs","Kurs","Price","Kurs","Kurs","Kurs","kurs","Kurs",
"@Kurs...","Kurs...","Price...","Course ...","Cours ...","Ders ...","Por supuesto ...","Corso ...",
"@Køb i EU","Køb i EU","Buy in the EU","Kaufen Sie in der EU","Acheter dans l'UE","AB'de Buy","Comprar en la UE","Acquistare nell'UE",
"@Køb uden for EU","Køb uden for EU","Buy outside EU","Kaufen Sie außerhalb der EU","Acheter l'extérieur de l'UE","AB dışında satın almak","Comprar fuera de la UE","Acquistare al di fuori dell'UE",
"@Køb..","Køb..","Purchase..","Kaufen Sie ..","Acheter ..","Buy ..","Comprar ..","Acquista ..",
"@Køb: ","Køb: ","Purchase: ","kaufen: ","Acheter: ","satın almak: ","comprar: ","Acquista: ",
"@Købs statistik","Købs statistik","purchase statistics","Einkaufsstatistiken","les statistiques d'achat","satın alma istatistikleri","estadísticas de compra","statistiche di acquisto",
"@Købs-moms","Købs-moms","Purchase VAT","Kauf Mehrwertsteuer","Achat TVA","Satınalma KDV","compra IVA","Acquisto IVA",
"@KøbsMomskonto","KøbsMomskonto","Purchase VAT Account","Kauf MwSt Konto","Compte d'achat de la TVA","Satınalma KDV Hesabı","Cuenta compra IVA","Conto Acquisto IVA",
"@Købsfaktura","Købsfaktura","purchase Invoice","Kaufrechnung","facture d'achat","satın alma Fatura","factura de compra","fattura di acquisto",
"@Købsmoms (indgående moms): ","Købsmoms (indgående moms): ","Purchase VAT (input tax): ","Vorsteuer (Vorsteuer): ","TVA d'entrée (taxe d'entrée): ","Girdi KDV (giriş vergisi): ","IVA (impuesto soportado): ","IVA assolta a monte (imposta a monte): ",
"@Købsmoms","Købsmoms","Input VAT","Vorsteuer","TVA d'entrée","girdi KDV","IVA soportado","IVA assolta a monte",
"@LAGER","LAGER","STOCK","STOCK","STOCK","STOK","STOCK","STOCK",
"@Labels","Labels","labels","Etiketten","étiquettes","etiketler","etiquetas","etichette",
"@Lager ført","Lager ført","stocked","bestückte","approvisionné","stoklanmayacaktır","Disponible","Disponibile in magazzino",
"@Lager ført. Afmærk her, hvis ...","Lager ført. Afmærk her, hvis ...","Stocked. Mark here if ...","Lager. Markieren Sie hier, wenn ...","Stockés. Marquez ici si ...","Stoklanmış. Burada eğer işaretle ...","Abastecido. Marque aquí si ...","Fornito. Segnare qui se ...",
"@Lager","Lager","stock","Lager","stock","hisse senedi","valores","stock",
"@Lager-regulering","Lager-regulering","Inventory control","Lagerverwaltung","Le contrôle des stocks","envanter kontrol","El control de inventarios","controllo del magazzino",
"@Lager-tilgang","Lager-tilgang","Storage approach","Lagerung Ansatz","approche de stockage","depolama yaklaşımı","enfoque de almacenamiento","approccio di archiviazione",
"@Lager-træk","Lager-træk","Storage features","Storage-Funktionen","Fonctionnalités de stockage","depolama özellikleri","características de almacenamiento","funzionalità di archiviazione",
"@Lager...","Lager...","Storage ...","Storage ...","Stockage ...","Depolama ...","Almacenamiento ...","Stoccaggio ...",
"@LagerGrupper","LagerGrupper","Storage Groups","Speichergruppen","Groupes de stockage","depolama Grupları","Grupos de almacenamiento","Gruppi di archiviazione",
"@Lagerbeholdning","Lagerbeholdning","Inventory","Inventar","inventaire","envanter","inventario","inventario",
"@Lageret hvor varen indgår","Lageret hvor varen indgår","The warehouse where the goods are included","Das Lager, in dem die Ware enthalten sind","L'entrepôt où les marchandises sont inclus","mallar dahildir depo","El almacén en el que se incluyen los bienes","Il magazzino in cui le merci sono compresi",
"@Lagre","Lagre","stocks","Vorräte","réserves","hisse senetleri","existencias","riserve",
"@Lagre:","Lagre:","stocks:","Aktien:","les stocks:","hisse senetleri:","las poblaciones de:","scorte:",
"@Lav backup af det nugældende formularsæt.","Lav backup af det nugældende formularsæt.","Make a backup of the current set of forms.","Machen Sie eine Sicherungskopie der aktuellen Reihe von Formularen.","Faites une sauvegarde de l'ensemble actuel des formes.","formların mevcut kümesinin bir yedeğini alın.","Hacer una copia de seguridad de la actual serie de formas.","Fare un backup del set corrente di forme.",
"@Lb.Nr.","Lb.Nr.","Lb.No.","LbNein.","Lb.Non.","Lb.Hayır.","Lb.No.","Lb.No.",
"@Lev. Service","Lev. Service","Lev. Service","Lev. Dienst","Lev. Service","Lev. Servis","Lev. De servicio","Lev. Servizio",
"@Lev. dato","Lev. dato","delivery date","Lev. Datum","Lev. Date de","Lev. Tarihi","Lev. Fecha","Lev. Data",
"@Lev...","Lev...","Lev ...","Lev ...","Lev ...","Lev ...","Lev ...","Lev ...",
"@Lev.rabat","Lev.rabat","Lev.rabat","Lev.rabat","Lev.rabat","Lev.rabat","Lev.rabat","Lev.rabat",
"@Lev.rabat...","Lev.rabat...","Lev.rabat ...","Lev.rabat ...","Lev.rabat ...","Lev.rabat ...","Lev.rabat ...","Lev.rabat ...",
"@Leverance beskrivlse","Leverance beskrivlse","delivery beskrivlse","Lieferung beskrivlse","livraison beskrivlse","teslimat beskrivlse","beskrivlse entrega","beskrivlse consegna",
"@Leverancer på salgsordren.","Leverancer på salgsordren.","Deliveries of the sales order.","Die Auslieferung des Kundenauftrags.","Les livraisons de l'ordre de vente.","satış siparişinin teslimi.","La entrega de la orden de venta.","Le consegne di ordini di vendita.",
"@Leverancer:","Leverancer:","deliveries:","Lieferungen:","livraisons:","teslimatlar:","entregas:","le consegne:",
"@Leverandør Navn","Leverandør Navn","Supplier Name","Name des Anbieters","Nom du fournisseur","Tedarikçi Adı","Nombre del proveedor","Nome Fornitore",
"@Leverandør","Leverandør","Supplier","Lieferant","fournisseur","satıcı","proveedor","fornitore",
"@Leverandør...","Leverandør...","Supplier...","Lieferant ...","Fournisseur ...","Tedarikçi ...","Proveedor ...","Fornitore ...",
"@Leverandører","Leverandører","Supplier","Lieferanten","fournisseurs","tedarikçiler","proveedores","fornitori",
"@Leverandøropslag","Leverandøropslag","Supplier Lookup","Lieferant Lookup","Fournisseur Lookup","Tedarikçi Arama","Operaciones de búsqueda proveedor","Lookup Fornitore",
"@Leveres til","Leveres til","Delivered to","Verfügbar für","Disponible pour","için kullanılabilir","disponible para","Disponibile per",
"@Leveres","Leveres","supplied","geliefert","fourni","verilen","suministrada","in dotazione",
"@Levering til faktura-adresse","Levering til faktura-adresse","Delivery to the invoice address","Lieferung an die Rechnungsadresse","Livraison à l'adresse de facturation","Fatura adresinize teslim","La entrega a la dirección de facturación","La consegna al indirizzo di fatturazione",
"@Levering:","Levering:","Delivery:","Lieferung:","Livraison:","Teslimat:","entrega:","consegna:",
"@Leverings Dato","Leverings Dato","delivery Date","Liefertermin","date de livraison","teslimat tarihi","Fecha de entrega","Data di consegna",
"@Leverings Land","Leverings Land","delivery Country","Lieferland","Pays de livraison","teslimat Ülke","país de entrega","consegna Paese",
"@Leverings adresse","Leverings adresse","delivery address","Lieferadresse","adresse de livraison","teslimat adresi","dirección de entrega","indirizzo di consegna",
"@Leverings by","Leverings by","delivery city","Lieferung Stadt","livraison ville","teslimat şehir","la ciudad la entrega","città di consegna",
"@Lidt omtale af grupper.","Lidt omtale af grupper.","Little mention of groups.","Kleine Erwähnung von Gruppen.","Petite mention de groupes.","grupların küçük bir söz.","Poca mención de los grupos.","Piccola menzione di gruppi.",
"@Linie antal","Linie antal","The line number","Die Zeilennummer","Le numéro de ligne","satır numarası","El número de línea","Il numero di riga",
"@Linie ialt","Linie ialt","line total","Zeilensumme","total de la ligne","hat toplam","total de la línea","totale linea",
"@Linie","Linie","line","Linie","ligne","çizgi","línea","linea",
"@Linieafstand","Linieafstand","line spacing","Zeilenabstand","interligne","satır aralığı","interlineado","interlinea",
"@Linier","Linier","lines","Linien","lignes","hatları","líneas","linee",
"@Linket du benyttede er midlertidigt, fordi det rigtige ikke er færdigudviklet.","Linket du benyttede er midlertidigt, fordi det rigtige ikke er færdigudviklet.","The link you used is temporary, because the right is not fully developed.","Der Link, den Sie verwendet wird, ist temporär, weil das Recht nicht voll entwickelt ist.","Le lien que vous avez utilisé est temporaire, parce que le droit ne soit pas pleinement développé.","Sağ tam gelişmiş değil çünkü kullanılan bağlantı, geçicidir.","El link que es temporal, porque el derecho no está completamente desarrollado.","Il link che hai usato è temporaneo, perché il diritto non è completamente sviluppato.",
"@Listens oprettelsesdato","Listens oprettelsesdato","List's creation date","Liste der Erstellungsdatum","la date de création de la liste","List oluşturulma tarihi","fecha de creación de la lista","List data di creazione",
"@Lodret forskydning: Angiv positivt tal for at øge, negativt tal for at mindske alle y-placeringer","Lodret forskydning: Angiv positivt tal for at øge, negativt tal for at mindske alle y-placeringer","Vertical Offset: Enter a positive number to increase, negative number to reduce all y-locations","Vertikale Offset: Geben Sie eine positive Zahl zu erhöhen, negative Zahl alle y-Positionen zu reduzieren","Décalage vertical: Entrez un nombre positif d'augmenter, nombre négatif pour réduire toutes les y-lieux","Dikey Ofset: Tüm y-konumları azaltmak için, negatif sayısını artırmak için pozitif bir sayı girin","Desplazamiento vertical: Introduzca un número positivo para aumentar, número negativo para reducir todas las ubicaciones y-","Vertical Offset: Inserire un numero positivo per aumentare, il numero negativo di ridurre tutte y sedi",
"@Log ind","Log ind","sign in","einloggen","Connectez-vous","login","iniciar la sesión","Entra",
"@Log ud","Log ud","log out","ausloggen","Déconnexion","Oturumu","finalizar la sesión","Esci",
"@Log. dato","Log. dato","Log. date","Anmeldung. Datum","Connectez-vous. date","Sign. tarih","Firmar. fecha","Iscriviti. data",
"@Login","Login","Log in","einloggen","Connectez-vous","login","iniciar la sesión","Entra",
"@Logind til","Logind til","Login to","Loggen Sie sich in","Connectez-vous pour","giriş yapın","Inicia sesión para","login per",
"@Lok...","Lok...","Lok ...","Lok ...","Lok ...","Lok ...","Lok ...","Lok ...",
"@Lokal fax","Lokal fax","local fax","lokale Fax","fax local","yerel faks","fax local","fax locale",
"@Lokalnr.","Lokalnr.","Localnbr.","Ext.","Ext.","Har.","Ext.","Ext.",
"@Lokation","Lokation","Location","Lage","emplacement","yer","ubicación","posizione",
"@Lokation.","Lokation.","Location.","Lage.","Localisation.","Konum.","Ubicación.","Posizione.",
"@Luk vinduet og gå et niveau op","Luk vinduet og gå et niveau op","Close the window and go up a level","Schließen Sie das Fenster und gehen auf ein Niveau","Fermez la fenêtre et remonter d'un niveau","penceresini kapatın ve bir seviye yukarı gitmek","Cierre la ventana y subir un nivel","Chiudere la finestra e salire di un livello",
"@Luk vinduet og gå til hoved-menu","Luk vinduet og gå til hoved-menu","Close the window and go to the main menu","Schließen Sie das Fenster und gehen Sie in das Hauptmenü","Fermez la fenêtre et allez dans le menu principal","penceresini kapatın ve ana menüye gitmek","Cierre la ventana y vaya al menú principal","Chiudere la finestra e andare al menu principale",
"@Luk","Luk","close","schließen","proche","yakın","cerca","vicino",
"@Lukket konto","Lukket konto","closed account","geschlossenes Konto","compte fermé","kapalı hesap","cuenta cerrada","conto chiuso",
"@Lukket","Lukket","Closed","geschlossen","fermé","kapalı","cerrado","chiuso",
"@Løn","Løn","Pay","Gehalt","salaire","maaş","salario","stipendio",
"@Løntillæg","Løntillæg","Supplements","Zuschläge","suppléments","Takviyeler","suplementos","supplementi",
"@Magenta (lyslilla)","Magenta (lyslilla)","Magenta (fuchsia)","Magenta (fuchsia)","Magenta (fuchsia)","Magenta (fuşya)","Magenta (fucsia)","Magenta (fucsia)",
"@Mail bilag","Mail bilag","mail Annex","Mail-Anhang","courrier annexe","posta Ek","anexo electrónico","posta allegato",
"@Mail emne","Mail emne","mail topic","Mail Thema","Sujet mail","posta konu","tema electrónico","argomento di posta",
"@Mail faktura:","Mail faktura:","Mail Invoice:","Mail-Rechnung:","Courrier facture:","Posta Fatura:","Factura por correo:","Posta fattura:",
"@Mail tekst","Mail tekst","mail text","Mail-Text","texte mail","posta metni","texto del correo electrónico","testo della mail",
"@Mail tekster:","Mail tekster:","Mail texts:","Mail-Texte:","textes Mail:","Posta metinleri:","textos mail:","testi Mail:",
"@Mail","Mail","mail","Post","courrier","posta","correo","posta",
"@Mailafsendelse:","Mailafsendelse:","Mail Sending:","Mail-Versand:","Envoi du courrier:","Gönderme posta:","Enviar correo:","Mail di invio:",
