"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Mailadresse","Mailadresse","Email address","E-Mail-Adresse","Adresse e-mail","E-posta adresi","adres e-mail","dirección de correo electrónico","indirizzo e-mail"
"@Mailfakt","Mailfakt","Mailfakt","Mailfakt","Mailfakt","Mailfakt","Mailfakt","Mailfakt","Mailfakt"
"@Mailtekst","Mailtekst","mail Text","Mail-Text","mail texte","posta Metni","Tekst poczty","Los mensajes de correo","posta Testo"
"@Maj","Maj","May","Mai","mai","Mayıs","maj","mayo","maggio"
"@Maksimal linie længde for beskrivelse, inden der brydes til ny linie, målt i mm. ","Maksimal linie længde for beskrivelse, inden der brydes til ny linie, målt i mm. ","Maximum line length of the description before is broken into a new line, measured in millimeters.","Maximale Leitungslänge der Beschreibung, bevor in eine neue Linie gebrochen, in Millimetern gemessen.","Longueur maximale de la ligne de la description avant est divisé en une nouvelle ligne, mesurée en millimètres.","Açıklamanın maksimum hat uzunluğu önce milimetre cinsinden ölçülür, yeni bir satır ayrılır.","Maksymalna długość linii opisu, zanim zostanie podzielony na nowej linii, mierzona w milimetrach.","longitud máxima de línea de la descripción antes de que se rompe en una nueva línea, medida en milímetros.","Massima lunghezza della linea della descrizione prima è suddiviso in una nuova linea, misurata in millimetri."
"@Maksimalt beløb for øredifferencer (i kroner)","Maksimalt beløb for øredifferencer (i kroner)","Maximum amount of øredifferencer (in Danish kroner)","Die maximale Menge an øredifferencer (in dänischen Kronen)","Montant maximal de øredifferencer (en couronnes danoises)","(Danimarka kronu cinsinden) øredifferencer maksimum miktarı","Maksymalna kwota øredifferencer (w koron duńskich)","Cantidad máxima de øredifferencer (en coronas danesas)","Importo massimo di øredifferencer (in corone danesi)"
"@Mange browsere skifter dette med F11-funktionstast.","Mange browsere skifter dette med F11-funktionstast.","Many browsers will change this with F11 function key.","Viele Browser wird dies mit der Taste F11 Funktion ändern.","De nombreux navigateurs vont changer cela avec la touche de fonction F11.","Birçok tarayıcı F11 fonksiyon tuşu ile bu değişecek.","Wiele przeglądarek będzie to zmienić za pomocą klawisza funkcyjnego F11.","Muchos navegadores van a cambiar esto con la tecla de función F11.","Molti browser cambierà questo con tasto funzione F11."
"@Manual, tips og anden hjælp finder du på","Manual, tips og anden hjælp finder du på","Manual, tips and other help can be found at","Handbuch, Tipps und andere Hilfe finden Sie unter","Manuel, conseils et autres formes d'aide peuvent être trouvés à","Manuel, ipuçları ve diğer yardım bulunabilir","Manualna, porad i innych pomocy można znaleźć na stronie","Manuales, consejos y otro tipo de ayuda se pueden encontrar en","Manuale, consigli e altro aiuto può essere trovato alla"
"@Mar","Mar","March","März","mars","Mart","marzec","marzo","marzo"
"@Massefakturering","Massefakturering","Mass Billing","Massenabrechnung","facturation de masse","Toplu Fatura","Rozliczenia masowe","facturación de masas","Fatturazione massa"
"@Massefakturering:","Massefakturering:","Mass Billing:","Massenabrechnung:","Facturation de masse:","Kütle Fatura:","Rozliczenia masowe:","Facturación de masas:","Fatturazione Mass:"
"@Materiale egenskaber","Materiale egenskaber","material properties","Materialeigenschaften","propriétés matérielles","malzeme özellikleri","właściwości materiałowe","propiedades de los materiales","proprietà dei materiali"
"@Materiale","Materiale","Material","Material","matériel","malzeme","tworzywo","material","materiale"
"@Materiale.","Materiale.","Material.","Material.","Matériel.","Malzeme.","Materiał.","Material.","Materiale."
"@Materialets massefylde","Materialets massefylde","Density of the material","Dichte des Materials","La densité du matériau","malzemenin yoğunluğu","Gęstość materiału","Densidad del material","Densità del materiale"
"@Max. antal linier, som vises pr. side: ","Max. antal linier, som vises pr. side: ","Max. number of lines displayed per. page:","Max. Anzahl der angezeigten Zeilen pro. Seite:","Max. nombre de lignes affichées par. page:","Maks. satır sayısı per görüntülenir. sayfa:","Max. liczba linii wyświetlanych na. strona:","Max. número de líneas está representada por. página:","Max. il numero di righe da mostrare per. pagina:"
"@Max.","Max.","Max.","Max.","Max.","Maks.","Max.","Max.","Max."
"@Md5-secret tildeles ved oprettelse af betalingsaftale hos Quickpay","Md5-secret tildeles ved oprettelse af betalingsaftale hos Quickpay","MD5 secret assigned by establishing payment agreement with Quickpay","MD5 Geheimnis mit Quickpay durch Festlegung Zahlungsvereinbarung zugewiesen","secrète MD5 attribué par l'établissement d'un accord de paiement avec Quickpay","QuickPay ile kurarak ödeme anlaşması tarafından atanan MD5 sırrı","MD5 nadany przez tajne porozumienia ustanawiającego płatności z Quickpay","MD5 secreta asignada mediante el establecimiento de acuerdo de pago con Quickpay","MD5 secret assegnato attraverso la definizione di un accordo con il pagamento Quickpay"
"@Md5-secret","Md5-secret","MD5 secret","MD5 Geheimnis","MD5 secrète","MD5 sırrı","MD5 tajne","secreto MD5","MD5 segreto"
"@Medarbejder nummer","Medarbejder nummer","employee number","Mitarbeiternummer","numéro d'employé","çalışan sayısı","numer pracownika","número de empleado","il numero dei dipendenti"
"@Medarbejderens fulde navn.","Medarbejderens fulde navn.","The employee's full name.","Die Mitarbeiter den vollen Namen.","le nom complet de l'employé.","çalışanın tam adı.","imię i nazwisko pracownika.","El nombre completo del empleado.","Il nome completo del dipendente."
"@Medarbejderens mail","Medarbejderens mail","Employee mail","Mitarbeiter Mail","mail Employé","Çalışan posta","Pracownik poczty","electrónico de los empleados","posta elettronica dei dipendenti"
"@Medarbejdernr","Medarbejdernr","employeeNo","employeeNo","employeeNo","employeeNo","employeeNo","employeeNo","employeeNo"
"@Medarbejdernr.","Medarbejdernr.","EmployeeNo.","EmployeeNo.","EmployeeNo.","EmployeeNo.","EmployeeNo.","EmployeeNo.","EmployeeNo."
"@Medlem af debitorgruppe","Medlem af debitorgruppe","Member of the debtor group","Mitglied des Schuldners Gruppe","Membre du groupe débiteur","Borçlu grubunun üyesi","Członek grupy dłużnika","Miembro del grupo deudor","Membro del gruppo di debitori"
"@Medlem af kreditorgruppe","Medlem af kreditorgruppe","Member of the creditor group","Mitglied des Gläubigergruppe","Membre du groupe de créanciers","kredi grubunun üyesi","Członek grupy wierzycieli","Miembro del grupo de acreedores","Membro del gruppo di creditori"
"@Medtag delleverancer","Medtag delleverancer","Include lots;","Fügen Sie viel;","Inclure beaucoup;","çok şunlardır;","Dołącz dużo;","Incluye gran cantidad;","Includere un sacco;"
"@Medtag kommentarer på følgesedler","Medtag kommentarer på følgesedler","Include comments on slips","Fügen Sie Kommentare zu rutscht","Inclure les commentaires sur les bordereaux","fişleri dair açıklamalar","Dołącz komentarze na zrazy","Incluir comentarios sobre los resbalones","Includere commenti su slittamenti"
"@Medtag kun linjer med angivet antal på følgeseddel","Medtag kun linjer med angivet antal på følgeseddel","Include only lines with given number of delivery note","Fügen Sie nur Linien mit bestimmten Anzahl von Lieferschein","Inclure uniquement les lignes avec un nombre donné de bordereau de livraison","irsaliye Belirli sayıda tek hatları şunlardır","Obejmują tylko linie z danej liczby kwicie","Incluir sólo las líneas con determinado número de albarán de entrega","Includere solo linee con dato numero di bolla di consegna"
"@Medtag kun linjer med antal på følgeseddel","Medtag kun linjer med antal på følgeseddel","Include only lines with numbers on delivery note","Fügen Sie nur Zeilen mit Zahlen auf Lieferschein","Inclure uniquement les lignes avec des numéros de livraison","irsaliye numaraları ile tek hatları şunlardır","Obejmują tylko linie z numerami na kwicie","Incluir sólo las líneas con números en orden de entrega","Includi solo le righe con i numeri su bolla di consegna"
"@Medtag lagerbevægelser","Medtag lagerbevægelser","Include stock movements","Fügen Sie Lagerbewegungen","Inclure les mouvements de stock","Hisse senedi hareketlerini şunlardır","Obejmują ruchy seryjnych","Incluir los movimientos de existencias","Includi movimenti di magazzino"
"@Medtages på udskrifts side. A:alle, 1:første, !1:ikke første, S:sidste, !S:ikke sidste","Medtages på udskrifts side. A:alle, 1:første, !1:ikke første, S:sidste, !S:ikke sidste","Included on the print side. A: all, 1: first! 1: not the first, S: last! S: not last","Geschlossen auf der Druckseite. A: alle, 1: zuerst 1: nicht der erste, S: Letzte S: nicht zuletzt","Inclus sur le côté d'impression. A: all, 1: premier 1: pas la première, S: S durer: ne pas durer","Baskı yüzü dahil. A: Tüm 1: İlk 1: ilk değil, S: son S: sürmez","Umieszczone na stronie wydruku. A: all, 1: pierwsza 1: nie pierwszy, S: S trwa: nie trwać","Incluido en el lado de impresión. A: all, 1: 1 en primer lugar: no es la primera, S: S durar: no durar","Incluso sul lato di stampa. A: all, 1: prima 1: non il primo, S: Ultimi S: non ultimo"
"@Mellemkonto eksisterer ikke'; ","Mellemkonto eksisterer ikke'; ","Between Account does not exist ';","Zwischen Konto existiert nicht ';","Entre compte n'existe pas ';","'Hesap yok arasında;","Między konto nie istnieje "";","Entre cuenta no existe ';","Tra il conto non esiste ';"
"@Mellemkonto for beløb som udtages fra kasse ved dagsafslutning.","Mellemkonto for beløb som udtages fra kasse ved dagsafslutning.","Between Account for amounts withdrawn from cash at day end.","Zwischen Konto für Mengen von Bargeld am Tag Ende zurückgezogen.","Entre compte pour les montants retirés de trésorerie à la fin de la journée.","gün sonunda nakit çekilen tutarlar için Hesabına arasında.","Między Konta dla kwot wycofanych ze środków pieniężnych na koniec dnia.","Entre cuentas de las cantidades retiradas de efectivo al final del día.","Tra il conto per importi ritirati dal denaro alla fine della giornata."
"@Mellemkonto skal udfyldes for alle kasser","Mellemkonto skal udfyldes for alle kasser","Between Account must be completed for all boxes","Zwischen Konto muss für alle Boxen abgeschlossen sein","Entre compte doit être rempli pour toutes les boîtes","Hesabına arasındaki tüm kutuları için doldurulmalıdır","Między konto musi zostać zakończona do wszystkich skrzynek","Entre cuenta debe ser completado para todas las cajas","Tra il conto deve essere completato per tutte le caselle"
"@Mellemkto","Mellemkto","Mellemkto","Mellemkto","Mellemkto","Mellemkto","Mellemkto","Mellemkto","Mellemkto"
"@Merchant nr tildeles ved oprettelse af betalingsaftale hos Quickpay","Merchant nr tildeles ved oprettelse af betalingsaftale hos Quickpay","Merchant No. assigned by establishing payment agreement with Quickpay","Händler Nr durch die Einrichtung Zahlungsvereinbarung mit Quickpay zugewiesen","Merchant n ° attribué par l'établissement d'un accord de paiement avec Quickpay","QuickPay ile kurarak ödeme anlaşması tarafından atanan Tüccar No","Sprzedawcy nr nadany przez porozumienia ustanawiającego płatności z Quickpay","Comerciante Nº asignado mediante el establecimiento de acuerdo de pago con Quickpay","Merchant No. assegnato attraverso la definizione di un accordo con il pagamento Quickpay"
"@Merchant nr:","Merchant nr:","Merchant no:","Händler no:","Merchant pas:","Tüccar no:","Sprzedawcy no:","Comerciante no:","Merchant no:"
"@Min.","Min.","Mine.","Minute","Min.","Min.","Min.","Min.","Min."
"@Minimumsmængde for at yde mængderabat","Minimumsmængde for at yde mængderabat","Minimum quantity to provide volume discounts","Mindestmenge Volumenrabatte bieten","La quantité minimum pour fournir des escomptes de volume","hacim indirim sağlamak için minimum miktar","Minimalne zapewnić rabaty","cantidad mínima para ofrecer descuentos por volumen","Quantità minima per offrire sconti per volume"
"@Minimumsmængde for at yde procent rabat","Minimumsmængde for at yde procent rabat","Minimum quantity for providing percent discount","Mindestmenge für die Bereitstellung Prozent Rabatt","La quantité minimum pour fournir pour cent de réduction","oranında indirim sağlamak için minimum miktar","Minimalna ilość dla zapewnienia procent zniżki","La cantidad mínima para brindar por ciento de descuento","Quantità minima per la fornitura per cento di sconto"
"@Mobil","Mobil","Mobile phone","mobil","mobile","hareketli","przenośny","móvil","mobile"
"@Modkonto ved udligning af åbne poster","Modkonto ved udligning af åbne poster","Offset account the clearing of open items","Gegenkonto der Ausgleich der offenen Posten","Offset compte la compensation des éléments ouverts","hesap açık kalemlerin takas Ofset","Przesunięcie konto rozliczenia otwartych pozycji","Offset cuenta la compensación de partidas abiertas","Offset conto della compensazione di partite aperte"
"@Modkonto","Modkonto","Offset Account","Gegenkonto","compte Offset","ofset Hesap","przesunięcie konto","cuenta Offset","conto di contropartita"
"@Modt...","Modt...","Met...","Rec ...","Rec ...","Rec ...","Rec ...","Rec ...","Rec ..."
"@Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato"
"@Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr."
"@Modtage...","Modtage...","Receive...","Erhalten Sie ...","Recevoir ...","Alma ...","Otrzymuj ...","Recibe ...","Ricevere ..."
"@Modtagelses datoen","Modtagelses datoen","reception date","Empfangsdatum","Date de réception","alım tarihi","data odbioru","fecha de recepción","data di ricezione"
"@Modtagelses nummer for periodens første bilag","Modtagelses nummer for periodens første bilag","Reception number for the period's first Annex","Empfangsnummer für die erste Anlage Periode","Numéro de réception pour la première annexe de la période","dönemin ilk Annex Resepsiyon numarası","Numer czynna za okres pierwszego załącznika","número de recepción para el primer anexo del periodo","numero di ricezione per il primo allegato del periodo"
"@Modtager navn","Modtager navn","Receiver name","Empfänger-Name","nom du destinataire","Alıcı adı","Nazwa odbiorcy","nombre del receptor","nome destinatario"
"@Modtagerens Email adresse","Modtagerens Email adresse","Recipient's Email","Empfänger E-Mail an","Courriel du destinataire","Alıcının E-Posta","E-mail odbiorcy","Correo electrónico del destinatario","E-mail del destinatario"
"@Modtaget af","Modtaget af","Received by","erhalten durch","reçue par","tarafından alınan","otrzymane przez","recibida por","ricevuto da"
"@Modtaget dato","Modtaget dato","Received date","Datum empfangen","date de réception","tarih aldı","data odebrania","fecha de recepción","data di ricezione"
"@Moms %-sats for den posterede leverance","Moms %-sats for den posterede leverance","VAT% rate for the posted delivery","MwSt% Preis für die gebuchte Lieferung","TVA taux% pour la livraison posté","haberi teslimat için KDV% oranı","Stawka VAT% dla oddelegowanego dostawy","IVA% para la entrega publicado","tasso% di IVA per la consegna postato"
"@Moms %-sats","Moms %-sats","VAT% rate","MwSt% -Rate","TVA taux%","KDV% oranı","Stawka VAT%","tasa% de IVA","aliquota IVA%"
"@Moms %.","Moms %.","VAT%.","MwSt%.","TVA%.","KDV%.","VAT%.","IVA%.","IVA%."
"@Moms af varekøb i udlandet: ","Moms af varekøb i udlandet: ","VAT on goods purchased abroad:","Mehrwertsteuer auf Waren gekauft im Ausland:","TVA sur les biens achetés à l'étranger:","mallar üzerindeki KDV yurt dışında satın:","VAT od towarów zakupionych za granicą:","IVA sobre los bienes comprados en el extranjero:","IVA sui beni acquistati all'estero:"
"@Moms af varekøb m.v. i udlandet","Moms af varekøb m.v. i udlandet","VAT on goods purchased, etc. abroad","Mehrwertsteuer auf Waren gekauft, usw. im Ausland","TVA sur les marchandises achetées, etc. à l'étranger","mallara ilişkin KDV satın vb yurt dışında","VAT od zakupionych towarów, etc. za granicą","IVA sobre los bienes comprados, etc. en el extranjero","IVA sui beni acquistati, etc. all'estero"
"@Moms af ydelseskøb i udlandet","Moms af ydelseskøb i udlandet","Moms of ydelseskøb abroad","Mütter von ydelseskøb im Ausland","Les mamans de ydelseskøb à l'étranger","yurt dışında ydelseskøb ve anneler","Moms z ydelseskøb granicą","Madres de ydelseskøb en el extranjero","Mamme di ydelseskøb all'estero"
"@Moms af ydelseskøb i udlandet: ","Moms af ydelseskøb i udlandet: ","Moms of ydelseskøb abroad:","Mütter von ydelseskøb im Ausland:","Les mamans de ydelseskøb étranger:","yurt dışında ydelseskøb annelerini:","Moms z ydelseskøb za granicą:","Madres de ydelseskøb el extranjero:","Mamme di ydelseskøb all'estero:"
"@Moms fri","Moms fri","tax free","steuerfrei","libre d'impôt","vergiden muaf","wolne od podatku","libre de impuestos","esentasse"
"@Moms fri. Afmærk her, hvis ....","Moms fri. Afmærk her, hvis ....","VAT free. Mark here if ....","Mehrwertsteuer frei. Mark hier, wenn ....","TVA libre. Mark ici si ....","KDV ücretsiz. Burada eğer Mark ....","VAT darmo. Zaznacz tutaj, jeśli ....","sin IVA. Marcar aquí si ....","Esenti IVA. Mark qui se ...."
"@Moms indstillinger:","Moms indstillinger:","Tax options:","Steuermöglichkeiten:","Options fiscales:","Vergi seçenekleri:","Opcje podatkowe:","opciones de impuestos:","opzioni fiscali:"
"@Moms pct.sats","Moms pct.sats","VAT pct.sats","MwSt pct.sats","pct.sats TVA","KDV pct.sats","pct.sats VAT","pct.sats IVA","pct.sats IVA"
"@Moms","Moms","Moms","Moms","Moms","anneler","Moms","Las mamás","Moms"
"@Moms%","Moms%","VAT%","MwSt%","TVA%","KDV%","VAT%","IVA%","IVA%"
"@Moms...","Moms...","Moms ...","Moms ...","Moms ...","Anneler ...","Moms ...","Las mamás ...","Mamme ..."
"@Momsangivelse","Momsangivelse","VAT Statement","MwSt Statement","Déclaration de TVA","KDV beyannamesi","Oświadczenie VAT","Declaración de IVA","Dichiarazione IVA"
"@Momsgr...","Momsgr...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ..."
"@Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp"
"@Momsgruppe for salgsmoms ved omvendt betalingspligt.","Momsgruppe for salgsmoms ved omvendt betalingspligt.","Tax Group sales VAT on reverse charge.","Steuerkonzernumsatz Mehrwertsteuer auf Reverse-Charge.","Tax Group TVA de vente sur autoliquidation.","Ters şarjla Vergi Grup satışları KDV.","Grupa VAT od sprzedaży odwrotnego obciążenia.","Grupo IVA en las ventas de autoliquidación.","Gruppo IVA vendite sul reverse charge."
"@Momsgruppe som debitorgruppen skal tilknyttes.","Momsgruppe som debitorgruppen skal tilknyttes.","Tax Group as the debtor group to be assigned.","Steuergruppe wie der Schuldner Gruppe zugeordnet werden.","Groupe fiscal en tant que groupe débiteur à attribuer.","Borçlu grubu olarak vergi Grup atanacak.","Tax Group jako grupy dłużników mają być przypisane.","Grupo de impuestos como el grupo deudor que se asignará.","Fiscale di Gruppo come il gruppo debitore da assegnare."
"@Momsgruppe som kreditorgruppen skal tilknyttes.","Tax Group as a creditor group to be assigned.","Steuergruppe als Gläubiger Gruppe zugeordnet werden.","Groupe fiscal comme un groupe de créanciers à attribuer.","Bir alacaklı grubu olarak vergi Grup atanacak.","Tax Group jako grupa wierzycieli mają być przypisane.","Grupo Fiscal como un grupo de acreedores que se asignará.","Tax Group come gruppo creditore da assegnare."
"@Momsgruppe","tax Group","Steuergruppe","Groupe fiscal","vergi Grubu","Grupa podatkowa","Grupo fiscal","Gruppo fiscale"
"@Momskode for salgspriser på varekort ","Tax code for sales prices on the item card","Steuercode für Verkaufspreise auf dem Artikelkarte","code fiscal pour les prix de vente sur la carte de l'article","madde kartındaki satış fiyatları vergi kodu","Kod podatkowy jest przeznaczony do sprzedaży na karcie artykuł","código de impuestos para los precios de venta de la tarjeta elemento","Codice fiscale per i prezzi di vendita sulla scheda voce"
"@Momskode for salgspriser på varekort","Tax code for sales prices on the item card","Steuercode für Verkaufspreise auf dem Artikelkarte","code fiscal pour les prix de vente sur la carte de l'article","madde kartındaki satış fiyatları vergi kodu","Kod podatkowy jest przeznaczony do sprzedaży na karcie artykuł","código de impuestos para los precios de venta de la tarjeta elemento","Codice fiscale per i prezzi di vendita sulla scheda voce"
"@Momskode","tax Code","Steuer-Code","Code fiscal","vergi Kodu","Ordynacja podatkowa","Código de impuestos","Codice fiscale"
"@Momskode: K_:Købs... S_:Salgs... Y_:Ydelser, E_:, ","VAT code: K_: Purchase ... S_: Sales ... y_: Benefits, E_ :,","MwSt Code: K_: Kauf ... S_: Verkauf ... y_: Vorteile, E_:,","Code TVA: K_: Achat ... S_: vente ... Y_: Avantages, E_:,","KDV kodu: K_: Satınalma ... S_: Satış ... Y_: Faydaları, E_:","NIP: K_: zakup ... s_: Sprzedaż ... Y_: Korzyści, E_:,","Código de IVA: K_: compra ... S_: Ventas ... Y_: Beneficios, E_:,","IVA: K_: acquisto ... S_: Vendite ... Y_: Vantaggi, E_:,"
"@Momsrapport (konti som skal indgå i momsrapport): ","Tax Report (accounts to be included in the tax report):","Steuerbericht (Konten in der Steuererklärung aufgenommen werden):","Rapport d'impôt (comptes à inclure dans le rapport d'impôt):","Vergi Raporu (hesaplar vergi raporunda dahil edilecek):","Raport podatku (rachunki, które należy uwzględnić w sprawozdaniu podatkowym):","Informe de impuestos (cuentas que se incluirán en el informe de impuestos):","Relazione fiscale (conti da includere nel rapporto delle imposte):"
"@Momsrapport","tax Report","Steuerbericht","Rapport d'impôt","vergi Raporu","Raport podatkowy","Informe de impuestos","Rapporto fiscale"
"@Momssats for ydelsen","VAT rate for the service","Mehrwertsteuersatz für den Service","taux de TVA pour le service","hizmet için KDV oranı","Stawka VAT dla usługi","tipo del IVA para el servicio","aliquota IVA per il servizio"
"@Momssats","VAT Rate","MwSt bewerten","Taux de TVA","KDV Oranı","VAT rate","tasa de IVA","IVA Tasso"
"@MySQL findes.","MySQL is available.","MySQL ist verfügbar.","MySQL est disponible.","MySQL kullanılabilir.","MySQL jest dostępny.","MySQL está disponible.","MySQL è disponibile."
"@MySQL","MySQL","MySQL","MySQL","MySQL","MySQL","MySQL","MySQL"
"@Måned","Month","Monat","mois","ay","miesiąc","mes","mese"
"@Måned:","Month:","Monat:","mois:","ay:","miesiąc:","mes:","mese:"
"@Månedsliste","month List","Monat Liste","Liste mois","ay listesi","Lista miesiąc","Lista mes","Lista mese"
"@Mængden af den aktuelle leverance.","The amount of the current supply.","Die Höhe der Stromversorgung.","Le montant de l'offre actuelle.","akım kaynağı miktarı.","Ilość obecnej podaży.","La cantidad de la alimentación de corriente.","La quantità di corrente di alimentazione."
"@Mængden angivet som antal","The amount listed as number","Der als Nummer aufgelistet","Le montant répertorié sous le numéro","sayı olarak listelenen tutar","Kwota wymieniony jako numer","La cantidad que aparece como el número","L'importo indicato come numero"
"@Mængderabat $rabatpct %","Quantity discount $ rabatpct%","Mengenrabatt $ rabatpct%","Prix ​​dégressifs $ rabatpct%","Miktar indirim $ rabatpct%","Rabat ilościowy $ rabatpct%","Cantidad de descuento $ rabatpct%","Quantità sconto di $ rabatpct%"
"@Mængderabat","volume discounts","Volumenrabatte","escomptes de volume","hacim indirimler","rabaty","descuentos por volumen","sconti per volume"
"@Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:"
"@NOTE!","NOTE!","ACHTUNG!","REMARQUE!","NOT!","UWAGA!","NOTA!","NOTA!"
"@Navigation:","Navigation:","Navigation:","Navigation:","navigasyon:","Nawigacja:","navegación:","navigazione:"
"@Navn på en bruger, som i forvejen har tilladelse til at oprette, rette og slette databaser. ","Name of a user who already has permission to create, edit and delete databases.","Name eines Benutzers, der bereits die Erlaubnis hat zu erstellen, zu bearbeiten und zu löschen Datenbanken.","Nom d'un utilisateur qui a déjà l'autorisation de créer, modifier et supprimer des bases de données.","Zaten veritabanları oluşturmak, düzenlemek ve silmek için izni olan bir kullanıcı adı.","Nazwa użytkownika, który ma już uprawnienia do tworzenia, edycji i usuwania baz danych.","Nombre de un usuario que ya tiene permiso para crear, editar y eliminar bases de datos.","Nome di un utente che ha già permesso di creare, modificare ed eliminare i database."
"@Navn på ny status.","Name of the new status.","Name des neuen Status.","Nom du nouveau statut.","Yeni statü adı.","Nazwa nowego statusu.","Nombre del nuevo estado.","Nome del nuovo status."
"@Navn pås ny tjekliste","Name During this process new checklist","Nennen Während dieses Prozesses neue Checkliste","Nom Pendant ce processus nouvelle liste","Bu süreç yeni bir kontrol listesi sırasında Adı","Imię Podczas tego procesu nowej listy kontrolnej","Durante este proceso de nombrar nueva lista de verificación","Nome Durante questo processo nuova lista di controllo"
"@Navn skal angives","Name must be specified","Der Name muss angegeben werden","Le nom doit être spécifié","Adı belirtilmelidir","Nazwa musi być określony","El nombre debe especificarse","Il nome deve essere specificata"
"@Navn","Name","Name","nom","isim","nazwa","nombre","nome"
"@Navn...","Name...","Nennen Sie ...","Nom ...","Ad ...","Imię ...","Nombre ...","Nome ..."
"@Navnet på det firma, regnskabet angår","The name of the company, financial concerns","Der Name des Unternehmens, finanzielle Sorgen","Le nom de la société, les préoccupations financières","Şirketin adı, mali kaygılar","Nazwa firmy, problemy finansowe","El nombre de la empresa, las preocupaciones financieras","Il nome della società, le preoccupazioni finanziarie"
"@Navnet på variablen. Variabler som benyttes i ordrelinier, her prefix: £","The name of the variable. Variables used in order lines, here prefix: £","Der Name der Variablen. Variablen, um Linien verwendet, hier Präfix: £","Le nom de la variable. Variables utilisées dans les lignes de commande, ici préfixe: £","değişkenin adı. Burada önek sipariş hatlarında, kullanılan değişkenler: £","Nazwa zmiennej. Zmienne wykorzystywane w liniach zamówień, o prefix: zł","El nombre de la variable. Las variables utilizadas en las líneas de pedido, aquí prefijo: £","Il nome della variabile. Variabili utilizzate in righe d'ordine, qui prefisso: €"
"@Navnet","Navnet","The name","Der Name","Le nom","isim","Nazwa","el nombre","il nome"
"@Nej","No","keine","aucun","hayır","nie","no","no"
"@Netto almindelig salgspris","Net ordinary selling price","Net normalen Verkaufspreis","Prix ​​de vente net ordinaire","Net sıradan satış fiyatı","zwykła cena sprzedaży netto","precio de venta neto ordinario","prezzo netto di vendita ordinaria"
"@Netto","net","netto","net","net","netto","neto","rete"
"@Note","Note","Note","note","not","uwaga","nota","nota"
"@Note...","Note...","Hinweis ...","Remarque ...","Not ...","Uwaga ...","Nota ...","Nota ..."
"@Note:","Note:","Hinweis:","Remarque:","Not:","Uwaga:","Nota:","Nota:"
"@Noter til fragtmand","Notes to the carrier","Erläuterungen zur Träger","Notes sur le support","taşıyıcı Notlar","Uwagi do przewoźnika","Notas para el portador","Note al vettore"
"@Nov","November","November","novembre","Kasım","listopad","noviembre","novembre"
"@Nr","No","keine","aucun","hayır","nie","no","no"
"@Nr.","No.","Nein.","Non.","Hayır.","Nie.","No.","No."
"@Nummer...","Number...","Anzahl ...","Nombre ...","Numara ...","Ilość ...","Número ...","Numero ..."
"@Numr...","Numr ...","NumR ...","Numr ...","Numr ...","Numr ...","Numr ...","Numr ..."
"@Nuværende tekst","current text","aktuellen Text","texte actuel","geçerli metin","obecny tekst","texto actual","testo attuale"
"@Nuværende vist HTML-tekst","Current view HTML text","Aktuelle Ansicht von HTML-Text","Actuel texte vue HTML","Mevcut görünüm HTML metin","Aktualny tekst widok HTML","Actual texto vista HTML","Attuale testo visualizzazione HTML"
"@Ny - korrigeret HTML-tekst","New - corrected HTML text","Neu - korrigiert HTML Text","Nouvelle - corrigée du texte HTML","Yeni - HTML metni düzeltildi","Nowy - poprawiony tekst HTML","Nuevo - corregida de texto HTML","Nuovo - corretti testo HTML"
"@Ny Modtage liste","New Receive list","Erhalten Neue Liste","Nouveau Recevoir la liste","Listeyi Alma Yeni","Nowa lista Otrzymuj","Nueva lista Recibir","Nuovo elenco di ricezione"
"@Ny bruger","New user","neuer Nutzer","nouvel utilisateur","yeni kullanıcı","nowy użytkownik","nuevo usuario","nuovo utente"
"@Ny kontakt","new contact","neuen Kontakt","nouveau contact","yeni kişi","nowy kontakt","nuevo contacto","nuovo contatto"
"@Ny modtageliste","New receiving list","Neue Empfangsliste","Nouvelle liste de réception","Yeni alıcı listesi","Nowa lista odbiorczy","Nueva lista de recepción","Nuovo elenco di ricezione"
"@Ny ordre","New order","neue Ordnung","nouvel ordre","yeni düzen","nowy porządek","nuevo orden","nuovo ordine"
